Survey Report



Survey ID,1,Survey Name,kth 7
Created,10/05/16 08:50:37,Modified,10/05/16 08:50:37
Location,,Survey Run On,10/05/16 08:50:52
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","7.37","-84.11","0.00","0.00","0.00","130.45","9.80","139.20",36089,"-56.08","6.9","23.3"
"10.0","66.45","-83.66","0.73","0.57","-9.94","321.75","9.80","49.85",51158,"-73.23","6.9","23.1"
"20.0","70.72","-83.96","1.12","1.58","-19.88","21.10","9.80","111.39",51224,"-72.46","6.9","22.6"
"30.0","69.85","-83.62","1.49","2.59","-29.83","313.97","9.80","45.36",50849,"-73.09","6.9","21.7"
"40.0","70.32","-83.47","1.87","3.65","-39.76","327.08","9.79","58.93",51222,"-72.69","6.9","19.8"
"50.0","66.05","-83.30","2.30","4.72","-49.70","236.45","9.79","325.56",51870,"-73.32","6.9","17.5"
"60.0","69.30","-83.07","2.75","5.82","-59.63","334.43","9.79","67.32",51670,"-73.14","6.9","15.7"
"70.0","62.03","-82.70","3.26","6.94","-69.55","178.65","9.66","264.77",51695,"-72.59","6.9","14.7"
"80.0","66.62","-83.14","3.80","8.05","-79.47","44.69","9.78","133.58",51726,"-72.39","6.9","13.1"
"90.0","60.35","-82.92","4.34","9.13","-89.40","146.43","9.78","229.21",51678,"-72.06","6.9","11.7"
"100.0","59.34","-82.74","4.97","10.21","-99.32","161.04","9.78","243.89",51784,"-72.37","6.9","11.0"
"110.0","59.48","-82.38","5.62","11.33","-109.24","221.48","9.78","307.08",51613,"-73.12","6.9","10.3"
"120.0","64.61","-82.36","6.25","12.50","-119.15","52.24","9.78","141.52",51904,"-72.18","6.9","9.8"
"130.0","60.83","-82.24","6.86","13.69","-129.06","269.65","9.78","357.94",51591,"-73.53","6.8","9.6"
"140.0","57.84","-82.14","7.55","14.86","-138.96","209.43","9.78","293.86",51644,"-72.90","6.9","9.4"
"150.0","58.75","-81.61","8.30","16.06","-148.86","141.47","9.78","227.44",51791,"-72.16","6.9","9.1"
"160.0","60.02","-81.44","9.05","17.33","-158.75","167.13","9.75","255.93",51739,"-72.64","6.9","9.1"
"170.0","57.76","-81.46","9.81","18.60","-168.64","190.65","9.78","276.99",51668,"-72.60","6.9","9.1"
"180.0","60.06","-81.37","10.58","19.88","-178.53","138.68","9.78","226.72",51810,"-72.07","6.8","9.1"
"190.0","60.21","-80.98","11.35","21.21","-188.41","190.69","9.78","281.40",51653,"-72.65","6.9","9.1"
"200.0","71.03","-81.04","11.99","22.63","-198.29","323.15","10.07","66.71",51621,"-74.16","6.8","9.1"
"210.0","63.73","-80.90","12.59","24.07","-208.17","233.30","9.78","328.82",51566,"-73.20","6.8","9.1"
"220.0","66.65","-80.86","13.26","25.51","-218.04","289.89","9.78","28.91",51580,"-73.53","6.8","9.1"
"230.0","67.42","-81.06","13.87","26.96","-227.92","42.68","9.78","139.07",51888,"-72.16","6.8","9.1"
"240.0","62.11","-80.87","14.54","28.38","-237.79","177.90","9.84","270.75",51690,"-72.58","6.9","9.6"
"250.0","62.13","-80.67","15.29","29.79","-247.66","168.16","9.78","261.32",51712,"-72.37","6.9","9.6"
"260.0","62.22","-80.61","16.05","31.23","-257.53","174.50","9.78","268.12",51687,"-72.44","6.9","9.6"
"270.0","62.86","-80.42","16.81","32.69","-267.39","180.08","9.78","275.19",51678,"-72.55","6.9","9.6"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:09:03"
