Survey Report



Survey ID,2,Survey Name,kth 10
Created,10/05/16 08:50:37,Modified,10/05/16 08:50:37
Location,,Survey Run On,10/05/16 08:50:52
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","9.21","-87.31","0.00","0.00","0.00","264.51","9.79","272.93",66752,"63.69","6.9","14.7"
"10.0","202.37","-86.13","-0.08","-0.09","-9.98","107.80","9.79","306.12",51166,"-73.41","6.8","14.5"
"20.0","213.17","-86.28","-0.66","-0.40","-19.96","10.34","9.79","218.19",51457,"-72.03","6.8","14.5"
"30.0","214.47","-86.58","-1.18","-0.74","-29.94","81.68","9.79","290.79",50965,"-72.85","6.8","14.3"
"40.0","218.40","-86.41","-1.67","-1.11","-39.92","194.00","9.79","46.40",51310,"-72.33","6.8","14.5"
"50.0","214.71","-86.56","-2.17","-1.47","-49.90","356.01","9.79","205.53",51890,"-72.07","6.8","14.5"
"60.0","224.83","-86.47","-2.63","-1.86","-59.89","249.54","9.79","107.59",51791,"-72.32","6.9","14.3"
"70.0","223.22","-86.50","-3.07","-2.29","-69.87","352.41","9.78","209.11",51774,"-72.30","6.8","13.3"
"80.0","229.69","-86.48","-3.49","-2.73","-79.85","32.68","9.78","254.77",51683,"-72.84","6.9","12.6"
"90.0","235.11","-86.54","-3.86","-3.21","-89.83","223.59","9.78","90.73",51688,"-72.41","6.9","11.5"
"100.0","239.83","-86.54","-4.19","-3.72","-99.81","124.02","9.78","354.84",51393,"-73.41","6.8","10.8"
"110.0","241.59","-86.53","-4.48","-4.25","-109.79","141.30","9.78","13.82",51464,"-73.13","6.8","10.3"
"120.0","236.05","-86.80","-4.78","-4.74","-119.78","7.10","9.78","235.50",51777,"-72.68","6.8","9.8"
"130.0","235.23","-86.95","-5.09","-5.19","-129.76","287.58","9.78","155.84",51884,"-71.94","6.8","9.6"
"140.0","231.35","-87.17","-5.40","-5.60","-139.75","97.31","9.78","321.99",51534,"-73.43","6.8","9.1"
"150.0","215.83","-86.79","-5.78","-5.96","-149.73","44.22","9.78","254.83",51715,"-72.74","6.9","9.1"
"160.0","207.79","-86.63","-6.26","-6.26","-159.72","186.83","9.78","30.26",51527,"-73.03","6.8","9.1"
"170.0","195.51","-86.51","-6.82","-6.48","-169.70","6.23","9.78","199.31",51905,"-72.16","6.8","8.9"
"180.0","195.00","-86.31","-7.42","-6.64","-179.68","90.25","9.78","282.68",51640,"-72.99","6.8","9.1"
"190.0","193.28","-86.10","-8.06","-6.81","-189.66","130.11","9.78","320.98",51523,"-73.25","6.8","8.9"
"200.0","187.96","-85.65","-8.77","-6.94","-199.63","105.54","9.85","291.93",51583,"-73.08","6.8","9.1"
"210.0","184.53","-84.87","-9.59","-7.02","-209.60","84.57","9.78","268.10",51700,"-72.84","6.9","9.1"
"220.0","184.71","-84.94","-10.48","-7.10","-219.56","149.04","9.78","332.69",51491,"-73.32","6.8","9.1"
"230.0","179.75","-84.41","-11.40","-7.13","-229.52","70.63","9.78","250.44",51761,"-72.55","6.8","9.4"
"240.0","175.67","-84.10","-12.40","-7.09","-239.46","76.52","9.78","253.25",51724,"-72.65","6.8","9.6"
"250.0","167.74","-83.59","-13.46","-6.93","-249.41","86.09","9.78","257.01",51740,"-72.65","6.9","9.6"
"260.0","165.48","-83.15","-14.58","-6.66","-259.34","68.43","9.78","237.82",51807,"-72.42","6.8","9.6"
"270.0","167.58","-82.92","-15.76","-6.38","-269.27","142.99","9.78","314.10",51520,"-73.12","6.8","9.8"
"280.0","173.14","-82.60","-17.00","-6.17","-279.19","180.32","9.78","355.49",51445,"-73.29","6.7","9.8"
"290.0","172.12","-82.19","-18.32","-6.00","-289.10","176.08","9.78","350.62",51439,"-73.31","6.7","10.1"
"300.0","173.55","-81.83","-19.70","-5.83","-299.00","299.17","9.78","114.67",51861,"-72.20","6.8","10.3"
"310.0","172.50","-81.95","-21.10","-5.66","-308.90","129.23","9.78","304.05",51540,"-73.03","6.8","10.3"
"320.0","172.89","-81.77","-22.50","-5.48","-318.80","105.95","9.78","281.06",51640,"-72.88","6.8","10.8"
"330.0","173.96","-81.39","-23.95","-5.31","-328.69","146.84","9.78","322.76",51491,"-73.12","6.8","10.8"
"340.0","176.64","-81.19","-25.46","-5.19","-338.58","183.74","9.78","1.49",51454,"-73.25","6.7","10.8"
"350.0","177.04","-80.87","-27.02","-5.10","-348.45","140.17","9.78","318.21",51499,"-73.16","6.8","11.0"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:09:44"
