Survey Report



Survey ID,1,Survey Name,kth 8
Created,12/05/16 12:54:11,Modified,12/05/16 12:54:11
Location,,Survey Run On,12/05/16 12:54:27
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","23.40","-86.35","0.00","0.00","0.00","311.90","9.80","343.02",37001,"-76.15","6.9","22.6"
"10.0","128.47","-83.03","-0.09","0.60","-9.95","201.10","9.80","343.38",50984,"-72.91","6.8","22.6"
"20.0","132.19","-83.18","-0.86","1.52","-19.88","219.41","9.80","4.42",50909,"-73.12","6.8","22.6"
"30.0","133.10","-82.94","-1.68","2.41","-29.81","291.83","9.80","77.66",51500,"-72.83","6.9","22.4"
"40.0","127.98","-83.11","-2.47","3.33","-39.73","142.46","9.80","283.66",51199,"-72.00","6.9","21.0"
"50.0","130.33","-83.21","-3.22","4.25","-49.66","234.09","9.89","17.82",51789,"-73.39","6.8","19.1"
"60.0","127.54","-82.77","-3.99","5.20","-59.59","234.68","9.79","17.11",51603,"-73.54","6.8","16.6"
"70.0","127.07","-82.63","-4.76","6.21","-69.51","298.11","10.00","79.99",51801,"-72.98","6.9","15.2"
"80.0","124.37","-83.04","-5.49","7.22","-79.43","59.74","9.78","198.43",51825,"-72.28","6.8","13.6"
"90.0","123.52","-82.62","-6.18","8.26","-89.35","11.78","9.78","150.45",51987,"-72.20","6.9","12.2"
"100.0","121.07","-82.49","-6.87","9.35","-99.27","51.63","9.86","188.58",51891,"-72.13","6.8","11.2"
"110.0","119.85","-81.74","-7.57","10.54","-109.17","228.61","9.78","6.92",51471,"-73.37","6.8","10.8"
"120.0","125.33","-81.83","-8.34","11.74","-119.07","344.25","9.91","125.64",51768,"-72.44","6.9","10.1"
"130.0","124.57","-81.50","-9.17","12.93","-128.96","306.35","9.78","87.99",51719,"-72.85","6.9","9.6"
"140.0","117.55","-81.22","-9.94","14.21","-138.85","151.23","9.90","288.35",51598,"-72.94","6.9","9.6"
"150.0","119.98","-80.77","-10.70","15.58","-148.73","165.78","10.08","305.57",51466,"-73.21","6.8","9.1"
"160.0","123.65","-79.70","-11.59","17.02","-158.58","240.35","9.66","24.55",51491,"-73.64","6.8","9.1"
"170.0","124.15","-79.54","-12.60","18.52","-168.42","313.48","9.78","97.36",51752,"-72.68","6.9","9.1"
"180.0","136.26","-79.45","-13.77","19.90","-178.25","303.97","9.87","96.51",51739,"-73.55","6.9","9.1"
"190.0","120.17","-78.60","-14.93","21.39","-188.07","147.35","9.78","289.89",51619,"-72.73","6.8","9.1"
"200.0","124.06","-78.08","-16.00","23.10","-197.86","130.51","9.72","276.56",51674,"-73.16","6.9","9.1"
"210.0","121.60","-77.93","-17.13","24.84","-207.64","116.20","9.77","260.29",51733,"-72.52","6.9","9.1"
"220.0","124.08","-77.48","-18.28","26.63","-217.41","277.06","9.78","63.76",51608,"-73.11","6.8","9.1"
"230.0","120.48","-77.31","-19.45","28.48","-227.17","211.60","9.78","356.55",51444,"-73.33","6.8","9.1"
"240.0","120.85","-77.35","-20.56","30.36","-236.93","59.04","9.77","202.89",51920,"-72.02","6.8","9.4"
"250.0","120.18","-76.94","-21.69","32.28","-246.68","175.05","9.78","319.94",51523,"-73.02","6.8","9.4"
"260.0","123.79","-76.60","-22.91","34.22","-256.41","273.50","9.78","61.00",51581,"-73.11","6.8","9.6"
"270.0","124.06","-76.30","-24.21","36.16","-266.13","268.36","9.78","56.34",51551,"-73.12","6.8","9.6"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:09:19"
