Survey Report



Survey ID,2,Survey Name,kth 12
Created,12/05/16 08:43:10,Modified,12/05/16 08:43:10
Location,,Survey Run On,12/05/16 08:43:26
Operator,,Customer,
Tool,PeeWee,"Serial nr.",8520

"Mag.Decl.",0
Northing,"0.00"
Easting,"0.00"
Elevation,"0.00"

Recorded Data:

Depth,"Az.","Incl.","North.","East.","Elev.","G.Tf.","G.Vec.","Mag.Tf.","Mag.Vec.","Mag.Dip.","Bat.","Temp."
"0.0","264.11","-82.90","0.00","0.00","0.00","336.19","9.77","243.24",16634,"22.25","6.9","17.5"
"10.0","313.12","-82.98","0.35","-1.06","-9.92","82.80","9.79","13.89",51173,"-72.88","6.8","17.1"
"20.0","310.84","-82.67","1.19","-1.99","-19.85","159.58","9.79","88.16",50944,"-72.07","6.9","16.6"
"30.0","309.71","-82.98","2.00","-2.94","-29.77","207.61","10.13","136.35",51638,"-71.86","6.9","15.9"
"40.0","305.82","-82.23","2.78","-3.96","-39.68","315.37","9.79","235.54",51710,"-72.71","6.9","15.4"
"50.0","309.76","-83.02","3.57","-4.98","-49.60","211.54","10.85","140.77",51959,"-71.66","6.9","15.2"
"60.0","309.69","-83.10","4.34","-5.91","-59.53","57.47","10.58","344.41",51419,"-73.26","6.8","14.3"
"70.0","310.50","-82.93","5.12","-6.84","-69.45","177.12","10.85","106.43",51724,"-71.96","6.9","13.3"
"80.0","308.04","-82.30","5.94","-7.83","-79.37","226.56","10.19","151.70",51923,"-71.38","6.8","12.2"
"90.0","311.82","-81.78","6.83","-8.89","-89.27","8.14","9.70","294.20",51656,"-72.20","6.9","11.0"
"100.0","308.89","-81.61","7.76","-9.99","-99.17","144.23","9.76","66.29",51782,"-72.21","6.8","10.3"
"110.0","307.81","-81.61","8.67","-11.14","-109.06","69.91","9.78","348.74",51590,"-73.22","6.8","9.8"
"120.0","309.36","-81.59","9.58","-12.28","-118.95","70.09","9.78","350.20",51664,"-73.37","6.8","9.6"
"130.0","309.01","-81.80","10.49","-13.40","-128.85","86.52","9.78","7.82",51573,"-73.05","6.8","9.4"
"140.0","309.44","-81.82","11.39","-14.50","-138.75","95.34","9.78","17.40",51600,"-72.95","6.8","9.1"
"150.0","301.23","-82.11","12.20","-15.64","-148.65","347.65","9.78","261.80",51712,"-73.10","6.9","9.1"
"160.0","300.90","-82.30","12.90","-16.80","-158.56","214.91","9.78","131.48",51884,"-71.91","6.8","9.1"
"170.0","301.44","-82.24","13.59","-17.95","-168.47","191.84","9.78","108.74",51810,"-71.92","6.9","9.1"
"180.0","298.31","-82.16","14.27","-19.13","-178.37","245.42","9.78","157.96",52066,"-72.43","6.8","9.1"
"190.0","306.21","-81.98","15.00","-20.29","-188.28","166.10","9.77","86.89",51721,"-72.07","6.9","9.1"
"200.0","304.62","-82.23","15.80","-21.41","-198.18","67.50","9.78","345.42",51563,"-73.22","6.8","9.1"
"210.0","304.36","-82.24","16.56","-22.52","-208.09","56.64","9.78","334.21",51569,"-73.29","6.8","9.1"
"220.0","303.41","-82.15","17.32","-23.65","-218.00","48.65","9.78","324.81",51565,"-73.31","6.8","9.1"
"230.0","302.90","-82.12","18.07","-24.79","-227.91","177.75","9.78","95.57",51766,"-72.03","6.9","9.1"
"240.0","299.58","-82.01","18.79","-25.97","-237.81","236.48","9.78","150.73",51904,"-71.86","6.8","9.4"
"250.0","304.30","-82.11","19.52","-27.15","-247.71","103.38","9.78","21.24",51584,"-72.82","6.8","9.6"
"260.0","300.53","-81.74","20.27","-28.33","-257.61","12.39","9.78","284.13",51653,"-73.23","6.8","9.6"
"270.0","301.56","-81.58","21.01","-29.57","-267.51","52.69","9.78","324.63",51573,"-73.33","6.8","9.8"

"Depth in meter, azimuth in degrees, inclination in degrees, temperature in Celsius."
"DSM version 3.2.0.58 - File created 16/05/16 07:10:18"
